postcode,easting,northing,latitude,longitude,street,city,district,county,region,country,numbers
SW14 8AA,520509,0175751,51.467905,-0.266479,Moore Close,London,Richmond upon Thames,Greater London,London,England,
SW14 8AB,520511,0175695,51.467401,-0.266446,Howgate Road,London,Richmond upon Thames,Greater London,London,England,"45c Sheen Lane,Flat 1 At 57a Sheen Lane,Flat 2 At 57a Sheen Lane,Flat A 35,Flat B At 35,Flat C 35,Flat D At 35,Flat E At 35,Flat F 35,Flat F At 37,Flat 5 At 37,Flat 6 At 37,Flat 7 At 37,Flat 8 At 37,Flat 9 At 37,Flat 10 At 37,Flat 1 At 41,Flat 2 At 41,Flat 3 At 41,Flat 4 At 41,Flat 5 At 41,Flat 6 At 41,Flat 1 At 39-41,43a,Flat 1 At 45,Flat 2 At 45,47a,47b,47c,Flat 1 At 49,Flat 2 At 49,49,51a,Gnd Fl Rear 51,Flat 2nd Flr At 51,Flat 1st Flr 53a,Flat 2nd Flr At 53b,Mais 1st & 2nd Flrs 55a,57a,59a,61a,63a,63"
SW14 8AD,520500,0175609,51.466631,-0.266657,Howgate Road,London,Richmond upon Thames,Greater London,London,England,"65b,65c,65,67c,67,69b,69c,Flat 1 At 71,Flat 2 At 71,71,Flat 1 At 73a,Flat 2 At 73a,73,77a"
SW14 8AE,520502,0175499,51.465642,-0.266642,Milton Road,London,Richmond upon Thames,Greater London,London,England,"Mews House A Sheen Stables R/o 119 Sheen Lane,Mews House B Sheen Stables R/o 119 Sheen Lane,81,83,85,87,89,91,93,95,97,99,101,103,Flat A 105,Flat 1 At 107a,Flat 1st Flr At 107,Flat 2 At 107a,Flat At 109,111a,113a,115a,117a,Flat 1 At 119,Flat 2 At 119,119,Flat 1st Flr At 121,Flat 123,125a,Flat A At 127,Flat B At 127,127,Flat A 129,Flat B 129,Flat C 129,133a,133b,133,135a,135b,135d,135e,135f,The Old Bakehouse 135b"
SW14 8AF,521305,0175780,51.467996,-0.254992,South Worple Avenue,London,Richmond upon Thames,Greater London,London,England,"1 Portobello Terrace,2 Portobello Terrace,3 Portobello Terrace,4 Portobello Terrace,5 Portobello Terrace,6 Portobello Terrace,7 Portobello Terrace"
SW14 8AG,520529,0175423,51.464953,-0.266280,Larches Avenue,London,Richmond upon Thames,Greater London,London,England,"234a,236a,Flat 1 At 236,Flat 2 At 236,Flat 3 At 236,238a,Maisonette 1st & 2nd Flrs At 240,242,244a,Flat Part 1st Flr At 246,Maisonette At 248,250a,252a,Flat 1 Sheen Lane House,Flat 2 Sheen Lane House,Flat 3 Sheen Lane House,Flat 4 Sheen Lane House,Flat 5 Sheen Lane House,Flat 6 Sheen Lane House"
SW14 8AH,520631,0175434,51.465030,-0.264832,Thornton Road,London,Richmond upon Thames,Greater London,London,England,"Maisonette At 210,Flat A 1st Flr 210,Flat B 2nd Flr 210,212a,216,220a,224a,224b,224c,226a,226b,204a"
SW14 8AJ,520600,0175400,51.464731,-0.265289,Larches Avenue,London,Richmond upon Thames,Greater London,London,England,
SW14 8AL,520700,0175400,51.464710,-0.263850,Chestnut Avenue,London,Richmond upon Thames,Greater London,London,England,
SW14 8AN,520721,0175446,51.465119,-0.263532,Portman Avenue,London,Richmond upon Thames,Greater London,London,England,"Flat 1 At 184,Flat 2 At 184,Flat 3 At 184,Flat 4 At 184,184,186a,186b,186c,188a,190a,Flat A At 190a,Flat 2 At 190,192a,194a,196,Flat 1 At 198,Flat 2 At 198,198,200a,200b,200,202"
SW14 8AP,520803,0175501,51.465596,-0.262334,Paynesfield Avenue,London,Richmond upon Thames,Greater London,London,England,
SW14 8AQ,520529,0175424,51.464962,-0.266303,Larches Avenue,London,Richmond upon Thames,Greater London,London,England,
SW14 8AR,520858,0175303,51.463804,-0.261610,Gilpin Avenue,London,Richmond upon Thames,Greater London,London,England,"1,5,7,9,11,13,15,Flat A 17,Flat B 17,Flat C 17,Flat 1 At 17,Flat 2 At 17,Flat 3 At 17,Flat 4 At 17,37,39,41,Flat Gnd Flr 43,Flat 1st Flr At 43,Flat 2nd Flr At 43,45,47,49,51,53,19,21,Flat Gnd Flr 23,Flat 1st Flr At 23,23,25,27,29,31,33,35,55,57,59"
SW14 8AS,520813,0175329,51.464048,-0.262249,East Sheen Avenue,London,Richmond upon Thames,Greater London,London,England,"2,4,6,8,10,12,14,16,36,38,18,20,22,24,26,28,30,32,34"
SW14 8AT,520789,0175172,51.462642,-0.262648,East Sheen Avenue,London,Richmond upon Thames,Greater London,London,England,"1,Flat 1 At 2,Flat 2 At 2,Flat 3 At 2,Flat 4 At 2,2,3,4,5,6,7,8,9,10,11,12,14,16a,16b,16c,Flat 1 At 16,16"
